Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
Geneva Avenue Elderly Housing,Dorchester,02121,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,,"22 Beechwood St, Dorchester, MA 02121, United States"
Georgetowne Housing I,West Roxbury,02136,601,601,0,56.0,56.0,0.0,545,545,0.0,Rental,Private,,,"400 Georgetowne Dr, Hyde Park, MA 02136, United States"
Georgetowne Housing II,West Roxbury,02136,366,366,0,0.0,0.0,0.0,366,366,0.0,Rental,Private,,,"400 Georgetowne Dr, Hyde Park, MA 02136, United States"
Gleason Street MIHI Package 2,Dorchester,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"489 Blue Hill Avenue, Dorchester, MA 02121, United States"
Glenville Apartments,Allston,02134,117,117,0,0.0,0.0,0.0,117,117,0.0,Rental,Private,,Y,"1285 Commonwealth Ave, Allston, MA 02134, United States"
Glenway|Roxton NHI,Dorchester,02121,6,3,3,0.0,0.0,0.0,6,3,3.0,Ownership/Rental,Private,,,
Goddard House,Jamaica Plain,02115,149,149,0,130.0,130.0,0.0,19,19,0.0,Rental,Private,,,"165 Chestnut St, Brookline, MA 02445, United States"
Gomes (VUP),Dorchester,02124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"321 Centre St, Boston, MA 02122, United States"
Goodale Rd. - HOME AGAIN,Mattapan,02126,10,5,5,0.0,0.0,0.0,10,5,5.0,Ownership/Rental,Private,,,"Goodale Rd, Boston, MA 02126, USA"
Gordon's Wood,West Roxbury,02132,42,0,42,37.0,0.0,37.0,5,0,5.0,Ownership,Private,,,
Governor Apartments,Brighton,02134,87,87,0,0.0,0.0,0.0,87,87,0.0,Rental,Private,Y,Y,"209 Kelton St, Allston, MA 02134, United States"
Grand families,Dorchester,02124,27,27,0,1.0,1.0,0.0,26,26,0.0,Rental,Private,,,
Granite 1B:VBC Apts.-Blue Hill,Roxbury,02121,30,30,0,0.0,0.0,0.0,30,30,0.0,Rental,Private,,Y,
Granite 3-Blue Hill,Roxbury,02121,148,148,0,0.0,0.0,0.0,148,148,0.0,Rental,Private,,Y,"754 Blue Hill Avenue, Dorchester, MA 02121, United States"
Granite 4B,Roxbury,02121,141,141,0,0.0,0.0,0.0,141,141,0.0,Rental,Private,,Y,"754 Blue Hill Avenue, Dorchester, MA 02121, United States"
Granite-Dorchester Bay,Dorchester,02125,134,134,0,0.0,0.0,0.0,134,134,0.0,Rental,Private,,Y,"5 Allstate Rd, Boston, MA 02125, United States"
Granite-Fields Corner,Dorchester,02121,67,67,0,0.0,0.0,0.0,67,67,0.0,Rental,Private,,Y,"754 Blue Hill Avenue, Dorchester, MA 02121, United States"
Granite-La Concha/Nuestra,Roxbury,02119,97,97,0,0.0,0.0,0.0,97,97,0.0,Rental,Private,,Y,"56 Warren St, Boston, MA 02119, United States"
Granite-Lena Park,Dorchester,02121,143,143,0,0.0,0.0,0.0,143,143,0.0,Rental,Private,,Y,"754 Blue Hill Avenue, Dorchester, MA 02121, United States"
Granite-Quincy-Geneva,Dorchester,02121,94,94,0,0.0,0.0,0.0,94,94,0.0,Rental,Private,,Y,"320 Blue Hill Avenue # B, Boston, MA 02121, United States"
Granite-Walnut Washington,Roxbury,02119,65,65,0,0.0,0.0,0.0,65,65,0.0,Rental,Private,,Y,"3230 Washington St, Boston, MA 02130, United States"
Granite-Washington Columbia I,Dorchester,02121,326,326,0,0.0,0.0,0.0,326,326,0.0,Rental,Private,,Y,"173 Columbia Rd #173, Dorchester, MA 02121, United States"
Grant Manor Apartments,Roxbury,02118,179,179,0,0.0,0.0,0.0,179,179,0.0,Rental,Private,,Y,"1810 Washington St, Boston, MA 02118, United States"
Green (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"20 Newton St, Brookline, MA 02445, United States"
Green (VUP) CDFI,Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Greenway Apartments,East Boston,02128,27,27,0,0.0,0.0,0.0,27,27,0.0,Rental,Private,,,"172 Maverick St, Boston, MA 02128, United States"
Grove Hall Apts,Dorchester,02121,104,104,0,0.0,0.0,0.0,104,104,0.0,Rental,Private,,Y,"12 Castlegate Rd # 9, Dorchester, MA 02121, United States"
Grubow (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Guaetta (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Habitat Arrowhead Site (REMS Land),Dorchester,02121,19,0,19,0.0,0.0,0.0,19,0,19.0,Ownership,Private,,,"205 E Dewey Ave, Sapulpa, OK 74066, United States"
Habitat Balina Pl,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"434 Massachusetts Ave Suite 201, Boston, MA 02118, United States"
Habitat Bradeen St,Roslindale,02131,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"1580 VFW Pkwy, West Roxbury, MA 02132, United States"
Habitat Fairland St,Roxbury,02119,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"434 Massachusetts Ave Suite 201, Boston, MA 02118, United States"
Habitat Regent Street,Roxbury,02119,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,"1580 VFW Pkwy, West Roxbury, MA 02132, United States"
Habitat Woodbine St,Roxbury,02119,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,,"434 Massachusetts Ave Suite 201, Boston, MA 02118, United States"
Habitat-Woodville Street,Roxbury,02119,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"434 Massachusetts Ave Suite 201, Boston, MA 02118, United States"
Hale House,Back Bay,02116,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,Y,,"273 Clarendon St, Boston, MA 02116, United States"
Haley House,South End,02118,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,Y,"23 Dartmouth St, Boston, MA 02116, United States"
Hamilton St Studios/Pine Street,Dorchester,02125,52,52,0,0.0,0.0,0.0,52,52,0.0,Rental,Private,?,,"444 Harrison Ave, Boston, MA 02118, United States"
Hammond Street,Roxbury,02120,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,"Hammond St, Boston, MA 02120, USA"
Hampton House (2-44B),Roxbury,02118,78,78,0,0.0,0.0,0.0,78,78,0.0,Rental,Public,Y,,"155 Northampton St, Boston, MA 02118, United States"
Hano Homes II,Allston,02134,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,"60 Hano St, Boston, MA 02134, United States"
Haraska (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Harbor Point,Dorchester,02125,350,350,0,0.0,0.0,0.0,350,350,0.0,Rental,Private,Y,Y,"Harbor Point Blvd, Boston, MA 02125, USA"
Harborview Condominiums,South Boston,02127,25,0,25,23.0,0.0,23.0,2,0,2.0,Ownership,Private,,,"10 Orleans St, East Boston, MA 02128, United States"
Hargrove (VUP),Roxbury,02119,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Harrison Commons,South End,02118,196,9,187,186.0,0.0,186.0,10,9,1.0,Ownership/Rental,Private,,,"Harrison Ave, Boston, MA 02118, USA"
Harrison-Albany Block Building A,South End,02118,299,299,0,269.0,269.0,0.0,30,30,0.0,Rental,Private,,,"300 Harrison Ave, Boston, MA 02118, United States"
Hartford Manor,Roxbury,02125,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,"Hartford St, Boston, MA 02125, USA"
Hartwell Terrace,Roxbury,02121,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,Y,Y,"Hartwell St, Boston, MA 02121, USA"
Harvard Commons Coop,Dorchester,02124,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,,"6 Snowden Way, Boston, MA 02124, United States"
Hassan Apts (2-62),Hyde Park,02136,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Public,Y,,"705 River St, Boston, MA 02136, United States"
Hazel Parks,Dorchester,02124,48,0,48,0.0,0.0,0.0,48,0,48.0,Ownership,Private,,,"3 Hazel St, Waltham, MA 02451, United States"
Hearth at 4-Corners,Dorchester,02121,54,54,0,0.0,0.0,0.0,54,54,0.0,Rental,Private,,,"16 Ronald St, Boston, MA 02121, United States"
Hearth at Olmsted Green,Dorchester,02124,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Private,,,"Hummingbird Ln, Boston, MA 02126, United States"
Hemenway Apartments,Fenway,02115,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,Y,Y,"768 Huntington Ave, Boston, MA 02115, United States"
Heritage Apts (2-52),East Boston,02128,296,296,0,0.0,0.0,0.0,296,296,0.0,Rental,Public,Y,Y,"209 Sumner St, Boston, MA 02128, United States"
Heritage at Cleveland Circle,Brighton,02135,90,90,0,0.0,0.0,0.0,90,90,0.0,Rental,Private,Y,,"Boston, MA 02135, United States"
Hiawatha|Mattapan Neighborhood Homes,Mattapan,02126,8,2,6,2.0,1.0,1.0,6,1,5.0,Ownership,Private,,,"981 Morton St, Boston, MA 02126, United States"
Highland Homes at Fort Hill - Home Again,Roxbury,02119,18,0,18,4.0,0.0,4.0,14,0,14.0,Ownership,Private,,,"58 Beech Glen St, Boston, MA 02119, United States"
Highland House,Roxbury,02119,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,"125 Highland St, Boston, MA 02119, United States"
Highland Park (2-89B),Roxbury,02119,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Public,,,
Highland Park Estates - Home Again,Roxbury,02119,6,1,5,0.0,0.0,0.0,6,1,5.0,Ownership/Rental,Private,,,"58 Beech Glen St, Boston, MA 02119, United States"
Highland Park II (Affordable),Roxbury,02119,11,1,10,3.0,0.0,3.0,8,1,7.0,Ownership/Rental,Private,,,"58 Beech Glen St, Boston, MA 02119, United States"
Hillside Homes at Franklin Park,Jamaica Plain,02130,12,0,12,10.0,0.0,10.0,2,0,2.0,Ownership,Private,,,"131 Morton St, Jamaica Plain, MA 02130, United States"
Historic South End Apartments,South End,02116,146,146,0,0.0,0.0,0.0,146,146,0.0,Rental,Private,,Y,"792 Tremont St #1051, Boston, MA 02118, United States"
Hoffman (VUP) CDFI,Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"18 Tremont St Suite 500, Boston, MA 02108, United States"
Holgate Apartments (2-29),Roxbury,02120,81,81,0,1.0,1.0,0.0,80,80,0.0,Rental,Public,Y,,
Holmes (VUP),Dorchester,02121,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,,"40 School St, Boston, MA 02124, United States"
Home Again (Back of the Hill),Mission Hill,02120,22,6,16,0.0,0.0,0.0,22,6,16.0,Ownership/Rental,Private,,,
Home For Little Wanderers,Mission Hill,02120,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,"69 Alleghany St, Roxbury, MA 02120, United States"
Homes at Peter's Park,South End,02118,10,0,10,7.0,0.0,7.0,3,0,3.0,Ownership,Private,,,"230 Shawmut Ave, Boston, MA 02118, United States"
Homestead House,Roxbury,02121,6,6,0,1.0,1.0,0.0,5,5,0.0,Rental,Private,,,"1448 Dorchester Ave, Boston, MA 02122, United States"
Hope House (SPO) (Production),Roxbury,02119,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Private,,,"8 Farnham St, Boston, MA 02119, United States"
Hope House II,Dorchester,02125,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,"8 Farnham St, Boston, MA 02119, United States"
Hopkins-Capen-Mountain-Fuller,Dorchester,02124,9,5,4,0.0,0.0,0.0,9,5,4.0,Ownership/Rental,Private,,,"45 Hull St, Boston, MA 02113, United States"
Horizons I,Mattapan,02126,7,7,0,1.0,1.0,0.0,6,6,0.0,Rental,Public,,,"1601 Blue Hill Avenue #205, Mattapan, MA 02126, United States"
Howard Dacia Homes,Roxbury,02125,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,,
Howard/Woodward/Dean,Roxbury,02125,9,0,9,0.0,0.0,0.0,9,0,9.0,Ownership,Private,,,
Hub 25,Dorchester,02124,278,278,0,242.0,242.0,0.0,36,36,0.0,Rental,Private,,,"25 Morrissey Blvd, Boston, MA 02125, United States"
Humboldt Avenue Apts,Roxbury,02119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,"278 Humboldt Ave, Dorchester, MA 02121, United States"
Humphreys St Housing Homeownership,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,"160 Federal St # 2, Boston, MA 02110, United States"
Humphreys St Housing Rental,Dorchester,02125,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,"15 Aberdeen St APT 2, Boston, MA 02215, United States"
Humphreys Street Homeowner,Dorchester,02125,7,0,7,0.0,0.0,0.0,7,0,7.0,Ownership,Private,,,"11 Humphreys St # 1, Dorchester, MA 02125, United States"
Hunt (VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,
Huntington House,Fenway,02115,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Public,,,"VA Medical Center, 150 S Huntington Ave, Boston, MA 02130, United States"
Hurley (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"2500 Washington St, Roxbury, MA 02119, United States"
Hyde Square Commons,Jamaica Plain,02130,18,0,18,17.0,0.0,17.0,1,0,1.0,Ownership,Private,,,"390-401 Centre St, Jamaica Plain, MA 02130, United States"
Hyde Square Coop,Jamaica Plain,02130,42,42,0,0.0,0.0,0.0,42,42,0.0,Cooperative,Private,,,"390-401 Centre St, Jamaica Plain, MA 02130, United States"
Hyde/Jackson Homes,Jamaica Plain,02130,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,,
Hyde-Blakemore,Roslindale,02131,13,0,13,0.0,0.0,0.0,13,0,13.0,Ownership,Private,,,"46-2 Blakemore St, Boston, MA 02131, United States"
IBA SRO Collaborative,South End,02118,11,11,0,0.0,0.0,0.0,11,11,0.0,Rental,Private,,,
Independent Living Project,Hyde Park,02136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"1208B VFW Pkwy STE 301, Boston, MA 02132, United States"
Indigo Block (Rental),Dorchester,02125,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,,"67 E Cottage St, Boston, MA 02125, United States"
Infill Apartments,Roxbury,02119,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,"17 Wensley St, Boston, MA 02120, United States"
Infill Colaborative,Roxbury,02120,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,
Infill I,Dorchester,02121,48,0,48,31.0,0.0,31.0,17,0,17.0,Ownership,Private,,,
Infill I (MHFA) ?,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,,
Ingram (VUP),Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,
Ink Block (Buildings 1-3),South End,02118,315,315,0,274.0,274.0,0.0,41,41,0.0,Rental,Private,,,"300 Harrison Ave, Boston, MA 02118, United States"
Ink Block Sepia (Building 4),South End,02118,77,0,77,69.0,0.0,69.0,8,0,8.0,Ownership,Private,,,"300 Harrison Ave, Boston, MA 02118, United States"
Ink Block Siena (Building 5),South End,02118,76,0,76,74.0,0.0,74.0,2,0,2.0,Ownership,Private,,,"40 Traveler St, Boston, MA 02118, United States"
Interfaith Apartments,South End,02118,69,69,0,0.0,0.0,0.0,69,69,0.0,Rental,Private,,Y,"282 Columbus Ave, Boston, MA 02116, United States"
Intervale St. HOME AGAIN,Dorchester,02121,15,2,13,0.0,0.0,0.0,15,2,13.0,Ownership/Rental,Private,,,"Intervale St, Boston, MA 02121, USA"
Intervale-Fayston,Dorchester,02121,5,3,2,0.0,0.0,0.0,5,3,2.0,Ownership/Rental,Private,,,"Intervale St, Boston, MA 02121, USA"
Intervale-Magnolia,Dorchester,02121,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y,"Intervale St & Magnolia St, Boston, MA 02121, USA"
J.J. Carroll Apts (2-37),Brighton,02135,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Public,Y,,
J.J. Meade (2-38),Dorchester,02124,40,40,0,1.0,1.0,0.0,39,39,0.0,Rental,Public,Y,,
Jackson (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Jackson Commons,Roxbury,02119,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,,,"1542 Columbus Ave, Boston, MA 02119, United States"
Jacob's Place,Dorchester,02121,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,,"Blue Hill Avenue, Boston, MA 02121, United States"
Jamaica Plain Apartments,Jamaica Plain,02130,103,103,0,0.0,0.0,0.0,103,103,0.0,Rental,Private,,Y,"24 Lawn St B, Boston, MA 02130, United States"
Jamaica Plains Coop Serv,Jamaica Plain,02130,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,Y,,"131 Morton St, Jamaica Plain, MA 02130, United States"
Jewish Community Housing for the Elderly,Brighton,02135,61,0,61,0.0,0.0,0.0,61,61,0.0,Rental,Private,Y,,"30 Wallingford Rd, Brighton, MA 02135, United States"
John Boyle O'Reilly School,South Boston,02127,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,Y,Y,"John Boyle O'Reilly School Management, 345 Dorchester St, South Boston, MA 02127, USA"
Johnson (VUP) CDFI,Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
JP Cohousing,Jamaica Plain,02130,30,0,30,27.0,0.0,27.0,3,0,3.0,Ownership,Private,,,"111 Perkins St, Boston, MA 02130, United States"
Julia Martin House,Jamaica Plain,02130,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,Y,,"90 Bickford St, Boston, MA 02130, United States"
Julian Phase I - HOME AGAIN,Roxbury,02119,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,,
KAFANM - Circle of Haitian Women (aka Women's Institute),Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"330 Fuller St, Dorchester Center, MA 02124, United States"
Kasanof Bakery (Rental & Ownership),Roxbury,02119,64,48,16,0.0,0.0,0.0,64,48,16.0,Ownership/Rental,Private,,,
Keazer (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Kelley (VUP),Jamaica Plain,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"84 Bennington St, Boston, MA 02128, United States"
Kenmore Abbey,Fenway,02215,199,199,0,1.0,1.0,0.0,198,198,0.0,Rental,Private,Y,Y,"490 Commonwealth Ave, Boston, MA 02215, United States"
Ketchen (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"196 Quincy St, Boston, MA 02121, United States"
Keystone Apartments,Dorchester,02124,223,223,0,1.0,1.0,0.0,222,222,0.0,Rental,Private,Y,Y,"151 Hallet St, Boston, MA 02124, United States"
Kimbrough (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"75 Francis St, Boston, MA 02115, United States"
Kittredge Square,Roxbury,02119,6,0,6,3.0,0.0,3.0,3,0,3.0,Ownership,Private,,,"Alvah Kittredge Park, Boston, MA 02119, USA"
Laboure,South Boston,02127,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,,"D St, Boston, MA 02127, United States"
Laconia Condominiums,South End,02124,99,0,99,71.0,0.0,71.0,28,0,28.0,Ownership,Private,,,"1200 Washington St, Boston, MA 02118, United States"
Lafayette Lofts,Downtown,02111,42,0,42,38.0,0.0,38.0,4,0,4.0,Ownership,Private,,,
Lamartine Homes - Home Again,Jamaica Plain,02130,10,2,8,0.0,0.0,0.0,10,2,8.0,Ownership/Rental,Private,,,"155 Lamartine St, Jamaica Plain, MA 02130, United States"
Lancaster House Condominium,South End,02118,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,"1501 Commonwealth Ave, Brighton, MA 02135, United States"
Landfall Apartments,East Boston,02128,111,111,0,16.0,16.0,0.0,95,95,0.0,Rental,Private,Y,Y,"401 Border St, Boston, MA 02128, United States"
Landfall West Apts,East Boston,02128,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Private,Y,,"401 Border St, Boston, MA 02128, United States"
Langham Court,South End,02118,84,84,0,29.0,29.0,0.0,55,55,0.0,Rental,Private,,,"26 Worcester St, Boston, MA 02118, United States"
Laramie (VUP),Hyde Park,02136,2,1,1,1.0,0.0,1.0,1,1,0.0,Rental,Private,,,
Larchmont Residence,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"193 Talbot Ave, Boston, MA 02124, United States"
Larkin (VUP),Jamaica Plain,02130,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,
Latin Academy Adaptive Re-use,Dorchester,02124,58,58,0,38.0,38.0,0.0,20,20,0.0,Rental,Private,,,"205 Townsend St, Boston, MA 02121, United States"
Lawrence (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"77 Lawrence Ave, Dorchester, MA 02121, United States"
Lawrence Court,South End,02116,12,0,12,9.0,0.0,9.0,3,0,3.0,Ownership,Private,,,"Lawrence St, Boston, MA 02116, USA"
LBB Housing,Dorchester,02126,101,101,0,0.0,0.0,0.0,101,101,0.0,Rental,Private,,Y,"15 Bismarck St, Mattapan, MA 02126, United States"
Leila Doe House,Mission Hill,02120,20,20,0,1.0,1.0,0.0,19,19,0.0,Rental,Private,,,
Lenox Street (2-4),Roxbury,02118,285,285,0,0.0,0.0,0.0,285,285,0.0,Rental,Public,,,"2 Lenox St, Boston, MA 02118, USA"
Levedo Building,Dorchester,02124,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,,
Leventhal House,Brighton,02135,254,254,0,1.0,1.0,0.0,253,253,0.0,Rental,Private,Y,Y,"28 Wallingford Rd, Brighton, MA 02135, United States"
Lewis Mall,East Boston,02128,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,Y,,"5 Lewis Mall, Boston, MA 02128, USA"
Lithgow Apts,Dorchester,02124,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,,"380 Talbot Ave, Dorchester Center, MA 02124, United States"
Little Chestnut Street Condominium,Charlestown,02129,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,"101 Chestnut St, Boston, MA 02108, United States"
Lofts at Westinghouse Plaza,Hyde Park,02136,62,16,46,53.0,16.0,37.0,9,0,9.0,Rental,Private,,,"1 Westinghouse Plaza Building C, Hyde Park, MA 02136, United States"
LOGO Apts (73u),Roxbury,02119,91,91,0,0.0,0.0,0.0,91,91,0.0,Rental,Private,,Y,"3686 Washington St, Boston, MA 02130, United States"
Long Glen Apartments,Allston,02134,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Public/Private,,,"1285 Commonwealth Ave, Allston, MA 02134, United States"
Long Glen Rental II (formerly homeownership),Allston,02134,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,,"1285 Commonwealth Ave, Allston, MA 02134, United States"
Longfellow School,Roslindale,02131,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,Y,,"885 South St, Boston, MA 02131, United States"
Longwood Row,Mission Hill,02120,25,25,0,21.0,21.0,0.0,4,4,0.0,Rental,Private,,,"1 Sewall St, Boston, MA 02120, United States"
Lorenzo Pitts Portfolio (JPNCD 2018),Roxbury,02119,137,137,0,0.0,0.0,0.0,137,137,0.0,Rental,Private,,Y,"270 Roxbury St, Roxbury, MA 02119, United States"
Lowell Square,West End,02114,183,183,0,0.0,0.0,0.0,183,183,0.0,Rental,Private,,Y,"65 Martha Rd, Boston, MA 02114, United States"
Lower Mills (2-57),Dorchester,02124,178,178,0,0.0,0.0,0.0,178,178,0.0,Rental,Public,Y,Y,"2200 Dorchester Ave, Boston, MA 02124, United States"
Lower Roxbury Tenant Corp,Roxbury,02120,70,70,0,17.0,17.0,0.0,53,53,0.0,Rental,Private,,,"11 New Whitney St, Boston, MA 02115, United States"
Lucerne Gardens,Dorchester,02124,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y,"65 Winston Rd, Boston, MA 02124, United States"
Lucky Strike Residential Project,Dorchester,02122,22,3,19,19.0,0.0,19.0,3,3,0.0,Ownership/Rental,Private,,,"145 Ipswich St, Boston, MA 02215, United States"
Luis (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"100 Huntington Ave Level 1, Boston, MA 02116, United States"
Lumen,Charlestown,02129,30,0,30,26.0,0.0,26.0,4,0,4.0,Ownership,Private,,,"30 Polk St, Boston, MA 02129, United States"
Lyman School Apts for the Elderly,East Boston,02128,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,Y,Y,"54 Orleans St # 1, East Boston, MA 02128, United States"
M Walsh (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"840 Harrison Ave 1st Floor, Boston, MA 02118, United States"
M.E. McCormack (2-23),South Boston,02127,1016,1016,0,0.0,0.0,0.0,1016,1016,0.0,Rental,Public,,,"7 Sterling Square, Boston, MA 02127, United States"
M.L. King Apartments (2-40),Roxbury,02119,104,104,0,2.0,2.0,0.0,102,102,0.0,Rental,Public,Y,,"158 Walnut Ave, Boston, MA 02119, United States"
M.R. Smith (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Madison Melnea Cass Apts,Roxbury,02119,76,76,0,4.0,4.0,0.0,72,72,0.0,Rental,Public/Private,,,"600 Melnea Cass Blvd, Boston, MA 02119, United States"
Madison Parcel 10 Bldg C (Belvidere/Dalton East Offsite),Roxbury,02119,30,30,0,9.0,9.0,0.0,21,21,0.0,Rental,Private,,,
Madison Park III,Roxbury,02120,120,120,0,0.0,0.0,0.0,120,120,0.0,Rental,Private,,Y,"122 Dewitt Dr, Boston, MA 02120, United States"
Madison Park IV,Roxbury,02119,143,143,0,0.0,0.0,0.0,143,143,0.0,Rental,Private,,,"184 Dudley St #102, Boston, MA 02119, United States"
Main Street Townhouses,Charlestown,02129,26,0,26,16.0,0.0,16.0,10,0,10.0,Ownership,Private,,,"1 Canal St, Boston, MA 02114, United States"
MainStay House,Charlestown,02129,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,,,"29 Crafts St #260, Newton, MA 02458, United States"
Malone Apts (2-89C),Hyde Park,02136,102,102,0,0.0,0.0,0.0,102,102,0.0,Rental,Public,Y,,
Mandela Homes,Roxbury,02118,276,276,0,0.0,0.0,0.0,276,276,0.0,Rental,Private,,Y,"1855 Washington St, Boston, MA 02118, United States"
Manganello (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,
Maple Commons,Roxbury,02119,41,41,0,0.0,0.0,0.0,41,41,0.0,Rental,Private,,,"15 Maple St, Boston, MA 02121, United States"
