Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,formatted_address
Avalon at North Station,West End,02114,503,503,0,473.0,473.0,0.0,30,30,0.0,Rental,Private,,,"1 Nashua St, Boston, MA 02114, United States"
Avalon at Prudential Center,Back Bay,02116,188,188,0,182.0,182.0,0.0,6,6,0.0,Rental,Private,,,"780 Boylston St, Boston, MA 02199, United States"
Avana Lofts,Chinatown,02111,32,32,0,29.0,29.0,0.0,3,3,0.0,Rental,Private,,,"42 Beach St, Boston, MA 02111, United States"
Avenir Development,West End,02114,241,241,0,224.0,224.0,0.0,17,17,0.0,Rental,Private,,,"101 Canal St, Boston, MA 02114, United States"
Avondale Place,Mission Hill,02115,22,22,0,0.0,0.0,0.0,22,22,0.0,Rental,Private,,,"Avondale St, Boston, MA 02124, USA"
Babcock Tower,Allston,02134,213,213,0,53.0,53.0,0.0,160,160,0.0,Rental,Private,,Y,"270 Babcock St, Boston, MA 02215, United States"
Back of the Hill 202,Mission Hill,02130,125,125,0,0.0,0.0,0.0,125,125,0.0,Rental,Private,Y,Y,"100 S Huntington Ave, Jamaica Plain, MA 02130, United States"
Back of the Hill HOP,Mission Hill,02120,149,0,149,58.0,0.0,58.0,91,0,91.0,Ownership,Private,,,"100 S Huntington Ave, Boston, MA 02130, United States"
Bailey (VUP),Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"131 Dartmouth St, Boston, MA 02116, United States"
Baker Square Condominium,Mattapan,02124,60,60,0,52.0,52.0,0.0,8,8,0.0,Rental,Private,,,"1243 Adams St, Boston, MA 02124, United States"
Balina Place at Norfolk St/Habitat,Dorchester,02124,3,0,3,0.0,0.0,0.0,3,0,3.0,Ownership,Private,,,"434 Massachusetts Ave Suite 201, Boston, MA 02118, United States"
Bancroft Apts,Jamaica Plain,02119,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,Y,"16 Ware St, Cambridge, MA 02138, United States"
Baptista (VUP),Dorchester,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"26 City Hall Mall, Medford, MA 02155, United States"
Barlett Square,Jamaica Plain,02130,13,0,13,11.0,0.0,11.0,2,0,2.0,Ownership,Private,,,"154 Green St, Boston, MA 02130, United States"
Barnes School 202,East Boston,02128,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,Y,,"Boston, MA 02128, United States"
Bartlett Place Building E,Roxbury,02119,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,"2565 Washington St, Boston, MA 02119, United States"
Bartlett Place/Building B,Roxbury,02119,60,0,60,22.0,22.0,0.0,38,38,0.0,Rental,Private,,,"2565 Washington St, Boston, MA 02119, United States"
Basilica (667-6),Charlestown,02129,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Public,Y,,"106 13th St, Boston, MA 02129, United States"
Bates School/Artblock 731,South End,02118,54,0,54,30.0,0.0,30.0,24,0,24.0,Ownership,Private,,,"731 Harrison Ave, Boston, MA 02118, United States"
Bay Cove Group Homes I,Roslindale,02131,26,26,0,0.0,0.0,0.0,26,26,0.0,Rental,Private,,Y,"39 Glencliff Rd, Boston, MA 02131, United States"
Bay Cove Group Homes III,South Boston,02127,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,Y,"66 Canal St, Boston, MA 02114, United States"
Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,,"44 Fairmount St, Boston, MA 02124, United States"
Bay Cove Hyde Park,Roslindale,02131,12,12,0,0.0,0.0,0.0,12,12,0.0,Rental,Private,,,"39 Glencliff Rd, Boston, MA 02131, United States"
BCN Properties,Roxbury,02119,53,53,0,0.0,0.0,0.0,53,53,0.0,Rental,Private,,Y,"30 Bower St, Boston, MA 02119, United States"
Beacon House,Beacon Hill,02114,135,135,0,50.0,50.0,0.0,85,85,0.0,Rental,Private,Y,Y,"19 Myrtle St #208, Boston, MA 02114, United States"
Beasley (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"Sports Medicine Division, 319 Longwood Ave, Boston, MA 02115, United States"
Belgrade Place,West Roxbury,02132,39,39,0,34.0,0.0,34.0,5,5,0.0,Rental,Private,,,"446 Belgrade Ave, West Roxbury, MA 02132, United States"
Bellflower (2-77),Dorchester,02125,114,114,0,0.0,0.0,0.0,114,114,0.0,Rental,Public,Y,,"2 Bellflower St, Boston, MA 02125, USA"
"Berkeley Investments, Inc.",South Boston Waterfront,02127,88,0,88,80.0,0.0,80.0,8,0,8.0,Ownership,Private,,,"125 High St #531, Boston, MA 02110, United States"
Beryl Gardens,Roxbury,02119,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,"184 Dudley St #102, Boston, MA 02119, United States"
BHA Infill 1A - Quincy Geneva,Roxbury,02121,18,0,18,0.0,0.0,0.0,18,0,18.0,Ownership,Private,,,"320 Blue Hill Avenue # B, Boston, MA 02121, United States"
BHA Infill 1B - Codman Square NDC,Dorchester,02124,2,0,2,0.0,0.0,0.0,2,0,2.0,Ownership,Private,,,"587 Washington St, Dorchester Center, MA 02124, United States"
BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,,
BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,,"52 Chauncy St, Boston, MA 02111, United States"
BHP Codman Square,Dorchester,02124,80,80,0,0.0,0.0,0.0,80,80,0.0,Rental,Private,,,"637 Washington St, Boston, MA 02124, United States"
BHP Fields Corner,Dorchester,02122,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Private,,Y,"1 Arcadia St, Dorchester, MA 02122, United States"
BHP Frawley-Delle,Mission Hill,02115,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y,"706 Huntington Ave, Boston, MA 02115, United States"
BHP Hano Street,Allston,02134,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,Section 8 or MRVP,"Hano St, Boston, MA 02134, USA"
BHP Lena Park,Dorchester,02121,93,93,0,0.0,0.0,0.0,93,93,0.0,Rental,Private,,,"150 American Legion Hwy, Dorchester, MA 02124, United States"
BHP Quincy-Geneva,Roxbury,02121,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,Y,"320 Blue Hill Avenue # B, Boston, MA 02121, United States"
BHP Washington Park,Jamaica Plain,02119,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,,"330 M.L.K. Jr Blvd, Boston, MA 02119, United States"
BHP Westland Ave,Fenway,02115,20,20,0,5.0,5.0,0.0,15,15,0.0,Rental,Private,,,"35 Westland Ave, Boston, MA 02115, United States"
Bickford (2-25),Jamaica Plain,02130,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Public,Y,,
Bird St. Estates,Roxbury,02125,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,,"500 Columbia Rd, Dorchester, MA 02125, United States"
Blackstone Apts,West End,02114,145,145,0,0.0,0.0,0.0,145,145,0.0,Rental,Private,Y,Y,"33 Blossom St, Boston, MA 02114, United States"
Blake Estates I,Hyde Park,02136,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,Y,Y,"1344 Hyde Park Ave, Hyde Park, MA 02136, United States"
