State/US-Abbreviation (USPS),Voting District,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
MA,101,2340,1420,60,652,70,1,0,40,97,1980,1273,45,484,68,1,0,31,78
MA,102,2603,994,42,1303,91,0,0,32,141,2119,904,41,966,81,0,0,26,101
MA,103,5111,2287,274,1804,449,4,2,78,213,4440,2090,240,1446,426,4,0,68,166
MA,104,3019,1113,122,1494,159,6,0,40,85,2508,1027,92,1142,141,3,0,31,72
MA,105,3539,1124,79,1958,145,7,1,106,119,2810,982,66,1467,125,5,1,65,99
MA,106,3301,949,77,2019,73,7,1,59,116,2601,818,65,1514,66,1,1,40,96
MA,107,3331,938,90,2027,115,6,4,51,100,2601,816,71,1509,83,6,4,35,77
MA,108,3826,906,143,2418,220,2,4,29,104,2953,815,118,1731,194,2,1,18,74
MA,109,2721,822,40,1664,54,0,0,59,82,2119,724,36,1198,52,0,0,43,66
MA,110,2496,560,73,1632,76,7,1,47,100,1912,489,62,1186,68,4,1,31,71
MA,111,2610,1140,40,1229,70,1,0,43,87,2178,1036,29,961,64,0,0,35,53
MA,112,2492,1154,58,1004,127,2,0,38,109,2077,1032,47,784,103,1,0,30,80
MA,113,3817,1610,129,1725,172,1,0,54,126,3070,1394,95,1309,151,1,0,36,84
MA,114,1860,743,176,771,98,1,0,2,69,1458,639,129,559,84,0,0,2,45
MA,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MA,201,2669,2240,22,151,140,1,0,18,97,2279,1955,20,114,116,1,0,14,59
MA,202,4520,2281,494,847,712,7,3,12,164,3678,2050,327,576,612,3,3,9,98
MA,203,1966,1720,22,98,60,2,0,17,47,1639,1453,16,71,52,2,0,16,29
MA,204,2537,1357,301,584,140,4,0,27,124,1856,1118,172,338,127,4,0,18,79
MA,205,2029,1839,9,70,42,0,0,3,66,1675,1529,9,49,38,0,0,3,47
MA,206,2813,2197,56,160,314,1,0,15,70,2290,1826,44,107,247,1,0,9,56
MA,207,2586,1992,86,165,238,1,1,6,97,2244,1758,74,132,208,1,1,6,64
MA,301,4026,3433,65,210,162,3,2,27,124,3713,3194,64,172,158,2,2,23,98
MA,302,2346,2040,32,112,76,0,3,9,74,2242,1963,27,100,73,0,3,8,68
MA,303,2603,2250,28,112,116,4,0,12,81,2492,2170,26,88,114,4,0,12,78
MA,304,2890,2325,66,210,183,1,1,10,94,2729,2246,57,170,179,1,1,7,68
MA,305,5799,3664,227,420,1206,7,0,65,210,5358,3433,200,379,1121,7,0,58,160
MA,306,7744,5666,295,501,962,4,3,52,261,7203,5319,292,427,901,4,3,48,209
MA,307,4653,3233,224,401,627,9,0,13,146,4101,2911,202,328,543,9,0,11,97
MA,308,14304,6405,740,1118,5510,11,8,55,457,13099,6121,664,1008,4881,11,8,50,356
MA,401,2310,1793,89,179,132,2,0,12,103,2087,1641,80,148,124,2,0,12,80
MA,402,4651,2944,420,402,636,8,0,36,205,4164,2722,349,334,575,8,0,36,140
MA,403,1557,1051,225,90,114,1,0,3,73,1347,933,183,72,104,1,0,3,51
MA,404,2331,1464,350,248,156,4,1,14,94,2057,1301,304,214,150,4,1,7,76
MA,405,2677,1412,216,164,735,5,4,34,107,2506,1340,184,145,711,5,4,29,88
MA,406,3563,1933,253,370,833,1,2,11,160,3468,1904,244,346,819,1,0,10,144
MA,407,4220,2128,372,424,1065,2,7,43,179,4068,2085,344,385,1049,2,7,40,156
MA,408,5671,3212,467,572,1131,1,17,29,242,5527,3177,439,531,1102,1,17,28,232
MA,409,5351,2791,612,759,793,5,1,146,244,5062,2765,537,595,784,5,1,142,233
MA,410,6054,4131,357,487,873,9,5,25,167,5971,4113,344,470,845,9,5,24,161
MA,501,7844,4530,393,485,2218,2,1,44,171,7242,4297,326,424,2050,0,1,42,102
MA,502,3143,1605,74,372,955,0,0,11,126,3036,1562,70,344,933,0,0,9,118
MA,503,2156,1839,18,82,140,0,0,12,65,1926,1645,18,67,134,0,0,11,51
MA,504,2988,2263,118,216,245,1,1,14,130,2841,2186,100,209,241,1,1,13,90
MA,505,872,764,9,35,26,0,0,5,33,756,676,9,22,26,0,0,5,18
MA,506,2500,1905,113,214,172,4,0,19,73,2340,1793,111,201,157,4,0,17,57
MA,507,2655,2168,24,136,219,3,0,4,101,2511,2055,24,125,214,0,0,4,89
MA,508,2857,2224,59,152,280,2,0,16,124,2682,2103,59,141,258,2,0,12,107
MA,509,4258,3169,89,317,476,8,0,30,169,4028,3035,89,284,455,7,0,24,134
MA,510,6660,3953,333,707,1332,21,3,59,252,6526,3870,333,691,1316,17,3,50,246
MA,511,1517,1278,25,83,56,0,0,7,68,1387,1176,25,72,51,0,0,6,57
MA,601,10181,7105,520,1049,980,3,4,101,419,9246,6763,401,774,887,3,3,89,326
MA,602,1987,1245,100,388,161,9,1,12,71,1687,1156,71,251,141,7,1,7,53
MA,603,2693,2370,21,102,133,2,0,10,55,2521,2237,21,86,123,2,0,9,43
MA,604,2371,2024,16,94,147,3,2,16,69,2164,1883,12,70,128,3,1,15,52
MA,605,2436,2186,13,101,61,0,0,9,66,2242,2036,13,76,58,0,0,9,50
MA,606,1899,1787,18,42,20,0,0,5,27,1730,1640,13,33,19,0,0,1,24
MA,607,2239,2045,13,64,59,2,0,4,52,2004,1847,12,49,52,1,0,4,39
MA,608,1994,1843,8,80,16,1,0,2,44,1849,1722,8,67,14,0,0,2,36
MA,609,1842,1721,11,55,29,1,0,3,22,1634,1525,11,47,29,0,0,3,19
MA,701,1780,1646,6,56,23,1,0,9,39,1612,1504,5,46,22,1,0,6,28
MA,702,2365,2167,19,67,58,2,0,10,42,2167,1998,15,56,56,2,0,10,30
MA,703,2512,2307,7,96,35,0,0,7,60,2335,2160,4,87,35,0,0,7,42
MA,704,2108,1689,73,211,76,2,0,7,50,1873,1557,52,144,70,2,0,6,42
MA,705,2041,1522,80,198,155,2,1,14,69,1824,1412,54,159,141,2,1,5,50
MA,706,2216,1187,266,468,190,0,0,12,93,1920,1135,178,351,176,0,0,7,73
MA,707,2669,486,513,1123,388,12,0,37,110,1962,415,352,767,339,4,0,25,60
MA,708,2151,1428,135,167,312,8,0,22,79,1930,1314,111,137,280,4,0,22,62
MA,709,1796,1112,112,242,227,0,0,21,82,1553,1028,88,185,176,0,0,13,63
MA,710,2414,333,596,502,105,2,0,404,472,1913,300,435,380,91,2,0,335,370
MA,801,2281,686,508,717,272,0,0,24,74,1877,631,375,535,256,0,0,18,62
MA,802,4522,2201,839,690,579,16,5,38,154,4203,2076,777,616,559,16,5,38,116
MA,803,2426,348,897,756,258,4,0,43,120,1992,342,718,567,245,1,0,31,88
MA,804,1185,56,471,551,25,0,0,24,58,882,49,365,385,23,0,0,11,49
MA,805,2393,149,748,526,65,2,0,290,613,1799,119,578,352,53,2,0,229,466
MA,806,987,117,182,259,27,1,1,147,253,791,110,153,191,19,1,1,114,202
MA,807,1648,113,765,542,23,2,0,50,153,1249,108,591,369,22,0,0,31,128
MA,901,2545,824,236,808,591,3,1,15,67,2164,765,203,618,519,0,1,12,46
MA,902,3026,1723,359,457,321,4,0,10,152,2661,1580,307,346,303,3,0,10,112
MA,903,5100,1157,1534,1695,473,0,2,39,200,4052,1082,1133,1206,448,0,2,31,150
MA,904,6143,1783,1223,1472,1350,10,4,34,267,5437,1737,966,1146,1305,6,4,23,250
MA,905,3120,529,1338,783,244,11,0,25,190,2595,501,1153,551,202,7,0,20,161
MA,1001,1562,346,419,505,235,2,0,20,35,1337,342,315,406,222,2,0,17,33
MA,1002,2742,867,356,391,1025,0,0,9,94,2473,820,257,311,995,0,0,9,81
MA,1003,2314,1145,196,350,494,3,0,29,97,2073,1083,156,255,467,3,0,27,82
MA,1004,3624,983,450,750,1246,3,0,61,131,3146,938,356,571,1107,3,0,48,123
MA,1005,2838,1601,282,331,458,4,1,22,139,2590,1513,237,257,442,2,1,15,123
MA,1006,2137,547,489,769,203,1,0,25,103,1736,491,411,564,184,1,0,18,67
MA,1007,2843,389,725,1461,154,0,2,27,85,2203,363,527,1095,142,0,2,16,58
MA,1008,3329,1554,405,442,793,2,0,15,118,3096,1457,381,396,742,2,0,10,108
MA,1009,2900,1586,259,588,313,2,3,17,132,2579,1477,207,498,282,1,0,12,102
MA,1101,1501,561,457,265,105,2,0,13,98,1299,514,383,221,97,0,0,12,72
MA,1102,2476,389,1067,776,84,10,0,11,139,1959,326,859,566,74,8,0,10,116
