State/US-Abbreviation (USPS),Voting District,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
MA,1103,1979,146,933,740,51,2,0,17,90,1548,138,742,537,47,2,0,11,71
MA,1104,3311,823,792,1351,153,11,2,30,149,2686,742,644,1020,139,11,2,25,103
MA,1105,2732,715,649,1112,113,4,1,18,120,2184,622,516,846,103,2,0,18,77
MA,1106,1594,757,163,485,84,0,0,26,79,1374,689,140,384,82,0,0,26,53
MA,1107,2307,1064,379,609,105,9,0,14,127,1899,924,316,455,99,7,0,11,87
MA,1108,2796,1541,233,429,401,0,2,17,173,2504,1414,216,357,379,0,2,10,126
MA,1109,1263,890,57,130,75,0,0,12,99,1119,815,49,112,71,0,0,10,62
MA,1110,1813,1118,159,288,145,0,0,17,86,1590,1014,121,232,142,0,0,17,64
MA,1201,2742,236,1459,729,113,7,1,55,142,2111,197,1184,496,98,2,1,37,96
MA,1202,3548,112,1918,1181,37,8,0,73,219,2685,93,1528,810,28,7,0,60,159
MA,1203,1480,110,795,426,44,5,0,18,82,1137,95,635,291,34,5,0,12,65
MA,1204,2065,158,1154,595,19,4,0,35,100,1608,139,921,436,16,3,0,23,70
MA,1205,1075,37,658,304,10,6,0,8,52,778,26,490,211,10,4,0,7,30
MA,1206,1582,62,943,387,16,3,1,28,142,1180,53,737,255,14,3,1,14,103
MA,1207,4337,163,2237,1695,33,7,1,37,164,3161,154,1670,1162,26,7,1,20,121
MA,1208,1602,75,788,599,11,5,0,31,93,1194,58,602,421,11,4,0,28,70
MA,1209,1639,58,940,528,23,3,2,27,58,1245,41,744,376,23,3,2,19,37
MA,1301,2889,102,1152,1067,76,8,1,99,384,2038,88,825,725,53,4,1,70,272
MA,1302,962,40,441,301,33,2,1,25,119,724,38,350,196,27,1,1,14,97
MA,1303,3949,1170,570,801,1229,9,5,26,139,3424,1040,450,613,1180,7,5,23,106
MA,1304,1881,129,820,615,36,6,1,100,174,1421,117,622,432,23,6,1,87,133
MA,1305,1708,290,570,402,39,3,0,181,223,1341,269,419,289,33,2,0,162,167
MA,1306,2097,672,410,519,146,0,1,87,262,1657,629,291,340,119,0,1,79,198
MA,1307,2200,1207,134,199,535,5,1,40,79,2014,1152,123,169,466,3,1,40,60
MA,1308,2015,1078,193,172,449,5,0,38,80,1779,992,149,148,381,5,0,34,70
MA,1309,1981,811,228,240,438,2,0,78,184,1683,763,188,164,367,2,0,64,135
MA,1310,2422,1684,120,171,310,1,0,18,118,2123,1530,96,141,241,1,0,18,96
MA,1401,4953,131,2281,1983,69,7,1,116,365,3444,87,1618,1333,59,5,1,83,258
MA,1402,4628,164,2703,1191,53,15,0,88,414,3310,121,2005,803,34,7,0,54,286
MA,1403,2212,27,1069,926,47,17,0,34,92,1620,13,815,654,37,15,0,17,69
MA,1404,2677,130,1391,766,52,9,0,80,249,1948,111,1047,510,37,5,0,56,182
MA,1405,2157,24,1597,410,14,7,0,9,96,1478,21,1148,210,12,7,0,6,74
MA,1406,2038,56,1182,583,22,16,0,55,124,1485,51,900,369,21,7,0,38,99
MA,1407,2132,69,1118,730,37,17,0,21,140,1485,48,847,447,27,9,0,18,89
MA,1408,1828,105,1250,348,21,3,1,14,86,1442,98,1003,245,20,1,1,12,62
MA,1409,2428,45,993,1217,15,5,0,41,112,1717,31,764,797,12,5,0,25,83
MA,1410,2255,39,1205,818,20,1,0,58,114,1555,31,836,537,16,0,0,42,93
MA,1411,2417,86,1455,684,31,15,0,39,107,1678,73,1037,434,22,11,0,26,75
MA,1412,1309,32,826,305,19,4,0,25,98,991,27,645,215,11,4,0,19,70
MA,1413,1765,23,1164,392,22,3,0,44,117,1273,20,882,249,19,1,0,25,77
MA,1414,2186,41,1517,485,1,6,1,20,115,1604,23,1191,285,0,5,1,16,83
MA,1501,2737,120,974,975,65,6,2,190,405,2053,100,794,660,53,5,2,142,297
MA,1502,2036,97,890,474,84,8,0,118,365,1517,85,694,306,58,6,0,91,277
MA,1503,1307,133,495,292,54,4,0,94,235,995,129,374,185,50,3,0,69,185
MA,1504,3656,389,958,719,664,6,0,298,622,2821,338,766,499,517,5,0,235,461
MA,1505,2439,120,1042,658,140,12,0,124,343,1791,91,755,451,113,10,0,99,272
MA,1506,1485,350,130,226,672,2,0,20,85,1208,329,109,160,537,2,0,8,63
MA,1507,1987,160,856,494,69,4,0,104,300,1450,142,598,338,59,2,0,79,232
MA,1508,1804,190,533,369,542,3,3,37,127,1376,169,379,285,411,3,3,30,96
MA,1509,1895,255,459,364,515,7,0,84,211,1494,240,346,257,430,7,0,61,153
MA,1601,2142,345,477,364,769,4,1,36,146,1711,301,390,273,616,4,1,26,100
MA,1602,1378,616,123,130,423,6,0,18,62,1140,566,96,90,321,6,0,15,46
MA,1603,2518,440,840,344,685,10,4,48,147,2000,398,659,254,529,10,4,35,111
MA,1604,2317,578,556,348,617,2,0,73,143,1867,520,456,233,489,2,0,63,104
MA,1605,2315,879,483,284,487,4,0,36,142,1841,790,338,187,385,4,0,29,108
MA,1606,3150,746,847,347,999,3,0,32,176,2571,657,708,270,781,3,0,28,124
MA,1607,1743,1176,163,107,154,3,0,46,94,1419,999,125,83,108,3,0,32,69
MA,1608,2088,1191,332,224,235,0,0,20,86,1738,1031,270,162,192,0,0,11,72
MA,1609,2131,1853,33,52,125,0,0,17,51,1789,1560,30,45,103,0,0,14,37
MA,1610,2179,1445,220,146,260,4,0,24,80,1827,1252,188,106,206,4,0,13,58
MA,1611,2092,1238,306,164,234,1,0,30,119,1711,1062,239,116,194,1,0,21,78
MA,1612,1590,1391,79,35,32,0,0,6,47,1305,1141,72,27,27,0,0,4,34
MA,1701,2204,88,1225,553,66,8,0,71,193,1614,74,918,372,47,7,0,54,142
MA,1702,1393,100,647,256,226,1,0,22,141,1130,88,525,201,183,1,0,17,115
MA,1703,2933,374,1665,515,134,10,0,54,181,2283,335,1311,347,112,10,0,37,131
MA,1704,2952,632,1421,343,299,6,1,42,208,2368,551,1152,235,246,6,0,31,147
MA,1705,1786,42,1048,522,46,7,3,15,103,1250,30,773,327,32,7,0,10,71
MA,1706,2018,374,840,422,196,11,2,44,129,1631,330,706,303,138,7,2,42,103
MA,1707,1363,52,900,242,36,4,0,19,110,1037,50,703,153,28,4,0,17,82
MA,1708,2007,105,1183,506,57,20,2,52,82,1523,96,914,353,43,19,1,39,58
MA,1709,1290,451,458,181,89,0,2,30,79,1037,389,364,129,71,0,2,23,59
MA,1710,2626,97,1770,426,92,6,0,50,185,1987,92,1387,278,68,6,0,33,123
MA,1711,984,189,480,150,72,3,0,30,60,825,185,396,111,54,3,0,25,51
MA,1712,1417,160,867,206,60,0,0,19,105,1158,142,726,141,53,0,0,13,83
MA,1713,1796,888,462,165,191,2,1,16,71,1575,821,391,143,149,2,1,11,57
MA,1714,1681,491,779,175,105,5,0,29,97,1424,465,644,135,87,5,0,24,64
MA,1801,3423,179,2109,839,48,11,2,51,184,2609,166,1660,555,42,10,2,37,137
MA,1802,2462,25,1876,410,8,14,2,10,117,1944,16,1512,290,6,11,2,10,97
MA,1803,2810,51,2158,414,11,3,4,24,145,2142,42,1695,274,7,3,4,19,98
MA,1804,2958,67,2241,417,25,3,1,27,177,2325,57,1815,272,20,0,0,20,141
MA,1805,2464,95,1869,347,13,4,0,21,115,1953,89,1516,227,12,4,0,20,85
MA,1806,2800,100,2018,478,25,9,0,18,152,2281,88,1679,355,17,7,0,17,118
MA,1807,2365,461,806,855,98,0,0,46,99,1892,415,650,651,83,0,0,44,49
MA,1808,3961,445,1951,1291,97,1,1,28,147,3214,397,1622,976,83,1,1,20,114
MA,1809,2035,881,513,486,59,1,0,20,75,1652,760,413,372,55,1,0,13,38
MA,1810,2917,1642,450,571,108,2,0,20,124,2391,1386,358,457,98,2,0,20,70
MA,1811,2392,442,1035,714,73,3,1,19,105,1804,383,771,503,67,3,0,9,68
MA,1812,2367,657,883,607,46,9,1,17,147,1903,578,725,453,33,9,1,3,101
MA,1813,1636,270,771,486,23,7,2,17,60,1328,236,642,362,20,7,2,14,45
MA,1814,1648,186,738,645,15,3,0,6,55,1326,165,597,494,14,3,0,6,47
MA,1815,2540,203,1633,583,21,1,0,21,78,1952,166,1278,418,19,1,0,12,58
MA,1816,2413,1192,590,402,106,4,7,23,89,1932,1007,459,297,76,4,7,13,69
MA,1817,2430,531,945,790,52,3,0,27,82,1852,466,725,538,46,3,0,23,51
MA,1818,2983,633,1296,863,44,8,0,27,112,2476,573,1082,680,42,6,0,15,78
MA,1819,3759,895,1726,821,104,4,2,46,161,2949,792,1339,595,89,3,2,40,89
MA,1820,3467,1446,983,659,113,2,0,92,172,2754,1257,729,475,95,0,0,75,123
MA,1821,3109,47,2356,496,10,5,1,25,169,2469,40,1920,373,7,5,1,10,113
MA,1822,2214,954,479,602,65,1,0,21,92,1829,827,385,482,52,1,0,18,64
MA,1901,1760,1249,85,216,93,2,0,8,107,1522,1097,78,193,82,2,0,8,62
MA,1902,2223,1675,114,159,123,5,3,12,132,1832,1441,99,115,108,4,3,4,58
MA,1903,1469,1127,57,104,118,2,0,9,52,1289,1011,46,70,110,2,0,8,42
MA,1904,1985,1414,88,274,114,3,0,6,86,1732,1264,82,234,102,2,0,6,42
MA,1905,1873,1221,194,265,107,5,0,15,66,1706,1117,189,233,101,5,0,15,46
MA,1906,2165,1578,95,180,146,3,0,28,135,1870,1408,91,137,128,3,0,22,81
MA,1907,2624,1354,261,620,224,2,4,31,128,2145,1182,196,461,199,1,4,21,81
MA,1908,1121,902,33,61,59,0,0,2,64,938,760,29,52,59,0,0,2,36
MA,1909,1042,809,38,63,65,1,0,4,62,879,690,33,53,59,1,0,4,39
MA,1910,2571,1138,537,653,70,4,1,29,139,2057,946,454,467,68,4,0,24,94
MA,1911,2673,542,731,1225,69,1,0,19,86,2048,484,551,882,53,0,0,15,63
MA,1912,1592,837,232,385,50,1,2,13,72,1341,726,198,311,46,0,2,12,46
MA,1913,1642,591,400,534,49,1,0,6,61,1372,534,312,445,44,1,0,5,31
MA,2001,2183,1780,105,115,88,0,0,16,79,1858,1548,94,85,69,0,0,7,55
MA,2002,2421,1441,254,478,117,4,0,24,103,1967,1212,203,357,99,4,0,20,72
MA,2003,2720,1352,490,456,293,9,1,20,99,2269,1191,375,364,244,9,1,19,66
MA,2004,1657,1278,67,157,60,2,0,12,81,1375,1084,51,123,52,2,0,8,55
MA,2005,2200,1653,98,238,142,4,1,4,60,1864,1431,86,187,122,3,0,0,35
MA,2006,2012,1651,44,113,130,0,0,5,69,1739,1463,39,86,108,0,0,5,38
MA,2007,1310,1006,50,104,97,0,0,16,37,1108,870,45,79,83,0,0,11,20
MA,2008,1609,1154,88,221,47,4,0,6,89,1279,951,77,165,38,4,0,4,40
MA,2009,1969,1166,211,409,70,2,0,19,92,1581,984,151,301,54,2,0,16,73
MA,2010,2897,1864,287,345,302,2,0,15,82,2286,1528,215,240,240,1,0,15,47
MA,2011,1014,827,24,54,71,0,0,7,31,835,692,18,38,65,0,0,6,16
MA,2012,1387,1114,40,103,76,0,0,4,50,1131,933,26,71,60,0,0,4,37
MA,2013,1169,1022,25,55,32,0,0,7,28,961,846,24,39,31,0,0,4,17
MA,2014,1223,1075,19,48,44,0,0,3,34,948,844,19,38,34,0,0,0,13
MA,2015,2580,1695,179,311,260,2,0,17,116,2097,1428,137,225,214,2,0,16,75
MA,2016,2638,1856,181,273,223,5,0,20,80,2235,1615,151,226,177,4,0,9,53
MA,2017,2746,2076,92,213,219,0,0,22,124,2225,1737,72,150,174,0,0,12,80
MA,2018,1321,1050,66,67,104,1,0,6,27,1101,882,55,52,86,1,0,6,19
MA,2019,1420,1120,31,90,117,1,0,19,42,1091,904,25,55,75,1,0,10,21
MA,2020,2807,1971,124,248,323,0,0,35,106,2376,1691,109,198,280,0,0,29,69
MA,2023,2995,286,1599,928,47,2,0,32,101,1939,226,1035,559,37,2,0,19,61
MA,2101,4647,2319,184,375,1531,4,5,24,205,4471,2252,165,365,1478,1,3,23,184
MA,2102,5699,2917,446,547,1460,5,19,49,256,5643,2896,439,536,1450,5,19,48,250
MA,2103,3923,1927,172,340,1292,6,0,29,157,3802,1890,167,307,1267,6,0,24,141
MA,2104,2933,1403,99,406,827,1,0,49,148,2697,1321,84,335,780,0,0,41,136
MA,2105,2948,1642,97,329,716,0,4,37,123,2775,1583,81,277,691,0,3,29,111
MA,2106,2023,1071,70,259,488,2,0,34,99,1885,1026,62,224,473,2,0,28,70
MA,2107,2703,1215,248,478,623,2,1,21,115,2441,1155,207,386,567,1,1,19,105
MA,2108,3255,1873,88,296,796,4,0,39,159,3113,1829,75,266,760,3,0,36,144
MA,2109,3495,1623,340,537,833,0,0,27,135,3136,1575,255,392,774,0,0,21,119
MA,2110,2301,1295,208,314,371,0,0,23,90,2141,1254,176,261,346,0,0,22,82
MA,2111,2804,1825,85,194,553,3,2,17,125,2639,1728,81,175,516,3,2,17,117
MA,2112,2543,1672,97,213,459,1,0,20,81,2429,1617,97,185,451,1,0,16,62
MA,2113,3152,1938,104,244,730,4,0,22,110,2934,1781,103,214,717,4,0,20,95
MA,2114,1682,1161,52,132,233,5,2,11,86,1622,1135,50,122,224,5,2,11,73
MA,2115,2000,1354,60,153,339,3,0,18,73,1921,1315,60,140,325,3,0,15,63
MA,2116,6175,4607,324,471,543,30,20,26,154,5977,4464,319,456,530,26,20,26,136
MA,2201,4222,2121,245,642,901,9,4,50,250,3848,2011,234,529,834,4,4,41,191
MA,2202,4033,1881,307,660,908,3,6,80,188,3516,1722,222,521,825,2,6,64,154
MA,2203,3034,2055,65,338,400,2,0,40,134,2703,1875,58,264,369,2,0,30,105
MA,2204,2067,1383,73,172,325,0,1,25,88,1888,1302,67,143,284,0,1,18,73
MA,2205,2864,1320,195,417,666,8,0,85,173,2401,1171,139,299,589,8,0,65,130
MA,2206,1862,1134,32,215,335,0,1,41,104,1683,1060,28,167,312,0,1,28,87
MA,2207,2455,1700,77,282,223,1,0,85,87,2195,1565,57,211,212,1,0,74,75
MA,2208,2191,1377,82,154,475,4,2,25,72,2039,1303,82,135,434,4,2,22,57
MA,2209,2347,1636,51,120,426,0,0,39,75,2015,1391,51,114,373,0,0,25,61
MA,2210,2279,1633,86,201,233,0,0,41,85,2087,1540,79,167,212,0,0,24,65
MA,2211,1663,1096,53,144,247,0,1,32,90,1473,995,50,123,203,0,1,26,75
MA,2212,2206,926,189,576,317,0,0,94,104,1780,833,144,387,269,0,0,78,69
MA,2213,1513,1138,37,140,141,0,0,15,42,1390,1065,31,112,132,0,0,14,36
MA,00502A,2342,1155,128,190,736,3,0,29,101,2201,1096,121,161,705,1,0,28,89
