FILEID,STUSAB,SUMLEV,GEOID,GEOCODE,REGION,DIVISION,STATE,COUNTY,COUSUB,VTD,VTDI,P0020001,P0020005,P0020006,P0020002,P0020008,P0020007,P0020009,P0020010,P0020011,P0040001,P0040005,P0040006,P0040002,P0040008,P0040007,P0040009,P0040010,P0040011
field concept,State/US-Abbreviation (USPS),Summary Level,Geographic Record Identifier,Geographic Code Identifier,Region,Division,State (FIPS),County (FIPS),County Subdivision (FIPS),Voting District,Voting District Indicator,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:,Total:,White alone,Black or African American alone,Hispanic or Latino,Asian alone,American Indian and Alaska Native alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races:
PLST,MA,710,7100000US2502500050107000,2.50E+15,1,1,25,25,7000,501,A,7844,4530,393,485,2218,2,1,44,171,7242,4297,326,424,2050,0,1,42,102
PLST,MA,710,7100000US2502500050207000,2.50E+15,1,1,25,25,7000,502,A,3143,1605,74,372,955,0,0,11,126,3036,1562,70,344,933,0,0,9,118
PLST,MA,710,7100000US2502500050307000,2.50E+15,1,1,25,25,7000,503,A,2156,1839,18,82,140,0,0,12,65,1926,1645,18,67,134,0,0,11,51
PLST,MA,710,7100000US2502500050407000,2.50E+15,1,1,25,25,7000,504,A,2988,2263,118,216,245,1,1,14,130,2841,2186,100,209,241,1,1,13,90
PLST,MA,710,7100000US2502500050507000,2.50E+15,1,1,25,25,7000,505,A,872,764,9,35,26,0,0,5,33,756,676,9,22,26,0,0,5,18
PLST,MA,710,7100000US2502500050607000,2.50E+15,1,1,25,25,7000,506,A,2500,1905,113,214,172,4,0,19,73,2340,1793,111,201,157,4,0,17,57
PLST,MA,710,7100000US2502500050707000,2.50E+15,1,1,25,25,7000,507,A,2655,2168,24,136,219,3,0,4,101,2511,2055,24,125,214,0,0,4,89
PLST,MA,710,7100000US2502500050807000,2.50E+15,1,1,25,25,7000,508,A,2857,2224,59,152,280,2,0,16,124,2682,2103,59,141,258,2,0,12,107
PLST,MA,710,7100000US2502500050907000,2.50E+15,1,1,25,25,7000,509,A,4258,3169,89,317,476,8,0,30,169,4028,3035,89,284,455,7,0,24,134
PLST,MA,710,7100000US2502500051007000,2.50E+15,1,1,25,25,7000,510,A,6660,3953,333,707,1332,21,3,59,252,6526,3870,333,691,1316,17,3,50,246
PLST,MA,710,7100000US2502500051107000,2.50E+15,1,1,25,25,7000,511,A,1517,1278,25,83,56,0,0,7,68,1387,1176,25,72,51,0,0,6,57
PLST,MA,710,7100000US2502500060107000,2.50E+15,1,1,25,25,7000,601,A,10181,7105,520,1049,980,3,4,101,419,9246,6763,401,774,887,3,3,89,326
PLST,MA,710,7100000US2502500060207000,2.50E+15,1,1,25,25,7000,602,A,1987,1245,100,388,161,9,1,12,71,1687,1156,71,251,141,7,1,7,53
PLST,MA,710,7100000US2502500060307000,2.50E+15,1,1,25,25,7000,603,A,2693,2370,21,102,133,2,0,10,55,2521,2237,21,86,123,2,0,9,43
PLST,MA,710,7100000US2502500060407000,2.50E+15,1,1,25,25,7000,604,A,2371,2024,16,94,147,3,2,16,69,2164,1883,12,70,128,3,1,15,52
PLST,MA,710,7100000US2502500060507000,2.50E+15,1,1,25,25,7000,605,A,2436,2186,13,101,61,0,0,9,66,2242,2036,13,76,58,0,0,9,50
PLST,MA,710,7100000US2502500060607000,2.50E+15,1,1,25,25,7000,606,A,1899,1787,18,42,20,0,0,5,27,1730,1640,13,33,19,0,0,1,24
PLST,MA,710,7100000US2502500060707000,2.50E+15,1,1,25,25,7000,607,A,2239,2045,13,64,59,2,0,4,52,2004,1847,12,49,52,1,0,4,39
PLST,MA,710,7100000US2502500060807000,2.50E+15,1,1,25,25,7000,608,A,1994,1843,8,80,16,1,0,2,44,1849,1722,8,67,14,0,0,2,36
PLST,MA,710,7100000US2502500060907000,2.50E+15,1,1,25,25,7000,609,A,1842,1721,11,55,29,1,0,3,22,1634,1525,11,47,29,0,0,3,19
PLST,MA,710,7100000US2502500070107000,2.50E+15,1,1,25,25,7000,701,A,1780,1646,6,56,23,1,0,9,39,1612,1504,5,46,22,1,0,6,28
PLST,MA,710,7100000US2502500070207000,2.50E+15,1,1,25,25,7000,702,A,2365,2167,19,67,58,2,0,10,42,2167,1998,15,56,56,2,0,10,30
