,black_ratio,hisp_ratio,all_ratio,aff_per_cap,NEIGHBORHOOD
8,0.06036056595162027,0.10965312642628937,0.44625741670470104,0.0,Downtown
12,1.8831228826609179,1.216661533723437,3.0760702186633817,0.00015856655831285183,Hyde Park
26,0.13572075130119937,0.2017990495587237,0.44020140303236027,0.00021321961620469082,West Roxbury
21,2.7057498874042936,2.5113346344392733,5.530851223540009,0.0002723064355087592,Roxbury
7,1.3432811279648127,1.039380112632055,2.9201298968224605,0.00029187949546544356,Dorchester
5,0.05663444263837796,0.17751732397981007,0.33980665583026776,0.00031496062992125983,Charlestown
16,9.722972972972974,3.0623123123123124,12.897147147147146,0.00032099293815536056,Mattapan
20,0.4126763015845377,0.6419118927389866,1.0550235068779383,0.0007429420505200594,Roslindale
9,0.08091744426241185,1.5456941377590996,1.480661015741862,0.0009436056838365897,East Boston
3,0.0684874242318679,0.17341322371629625,0.5372744373998467,0.0016000731462009691,Brighton
23,0.040252506498329,0.14433717044188638,0.248199034533977,0.003761755485893417,South Boston
13,0.19590673047551166,0.45417981875572755,0.7725791670909276,0.008946058969879838,Jamaica Plain
10,0.1134882332454351,0.18125279864669885,0.8267077964077815,0.012743413516609393,Fenway
17,0.01485148514851485,0.0594059405940594,0.15166516651665166,0.01331967213114754,North End
0,0.09228355441449151,0.26080445014976467,0.9018684923691342,0.01556637662648679,Allston
1,0.050315884476534296,0.09972924187725632,0.38191937424789413,0.01705326113311242,Back Bay
25,0.06558441558441558,0.13268398268398268,0.5363636363636364,0.02345985123021171,West End
2,0.0330945558739255,0.07693409742120344,0.2325214899713467,0.03379161835348683,Beacon Hill
24,0.16141551009669144,0.24883246727619548,0.7050582121949616,0.047475780732896086,South End
6,0.1418994413407821,0.2664804469273743,2.5435754189944135,0.05296377607025247,Chinatown
14,,,,inf,Kenmore
11,,,,inf,Financial District
18,,,,inf,Prudential
4,,,,,Brookline
15,,,,,Markets
19,,,,,Readville
22,,,,,Roxbury Crossing
27,,,,,not found
